year,age,sex,pop
1950,0,M,39673730
1950,5,M,30581430
1950,10,M,29491632
1950,15,M,27805596
1950,20,M,24688584
1950,25,M,21732884
1950,30,M,21548420
1950,35,M,19318900
1950,40,M,16548267
1950,45,M,14961619
1950,50,M,12255505
1950,55,M,10717553
1950,60,M,8000454
1950,65,M,5634931
1950,70,M,2926839
1950,75,M,1402092
1950,80,M,381174
1950,85,M,59660
1950,90,M,9509
1950,95,M,1002
1950,100,M,84
1960,0,M,50115435
1960,5,M,49895138
1960,10,M,35521377
1960,15,M,28667181
1960,20,M,27801040
1960,25,M,26096434
1960,30,M,23082592
1960,35,M,20150071
1960,40,M,19542927
1960,45,M,16777809
1960,50,M,13428915
1960,55,M,11084421
1960,60,M,7936009
1960,65,M,5625923
1960,70,M,3042315
1960,75,M,1268061
1960,80,M,297933
1960,85,M,59576
1960,90,M,8045
1960,95,M,641
1960,100,M,65
1970,0,M,69402971
1970,5,M,56156481
1970,10,M,46011735
1970,15,M,47856207
1970,20,M,34097031
1970,25,M,27340206
1970,30,M,26390151
1970,35,M,24583779
1970,40,M,21412175
1970,45,M,18203789
1970,50,M,16951540
1970,55,M,13600675
1970,60,M,9621712
1970,65,M,6643389
1970,70,M,3818211
1970,75,M,1908609
1970,80,M,618845
1970,85,M,132770
1970,90,M,13867
1970,95,M,1237
1970,100,M,76
1980,0,M,52366875
1980,5,M,64958712
1980,10,M,67160955
1980,15,M,55388171
1980,20,M,45447771
1980,25,M,47128738
1980,30,M,33436245
1980,35,M,26709635
1980,40,M,25626642
1980,45,M,23611616
1980,50,M,20075359
1980,55,M,16367595
1980,60,M,14219735
1980,65,M,10125302
1980,70,M,5983889
1980,75,M,3131339
1980,80,M,1150706
1980,85,M,311887
1980,90,M,48710
1980,95,M,4130
1980,100,M,157
1990,0,M,68872194
1990,5,M,53316561
1990,10,M,51489006
1990,15,M,64345914
1990,20,M,66518943
1990,25,M,54736019
1990,30,M,44821763
1990,35,M,46359500
1990,40,M,32707193
1990,45,M,25902876
1990,50,M,24462060
1990,55,M,21855872
1990,60,M,17583763
1990,65,M,13105870
1990,70,M,9816398
1990,75,M,5277930
1990,80,M,2004682
1990,85,M,571309
1990,90,M,99362
1990,95,M,11588
1990,100,M,672
2000,0,M,47124480
2000,5,M,52529087
2000,10,M,67972329
2000,15,M,52908190
2000,20,M,50992051
2000,25,M,63568363
2000,30,M,65592255
2000,35,M,53845215
2000,40,M,43903890
2000,45,M,45058543
2000,50,M,31312992
2000,55,M,24071552
2000,60,M,21644604
2000,65,M,17699639
2000,70,M,12096530
2000,75,M,6892664
2000,80,M,3564130
2000,85,M,1168239
2000,90,M,216421
2000,95,M,24899
2000,100,M,1683
2010,0,M,45565774
2010,5,M,44357884
2010,10,M,46714332
2010,15,M,52140173
2010,20,M,67253626
2010,25,M,52072594
2010,30,M,50086834
2010,35,M,62418022
2010,40,M,64228982
2010,45,M,52430521
2010,50,M,42333000
2010,55,M,42590052
2010,60,M,28415407
2010,65,M,20224519
2010,70,M,15743094
2010,75,M,9933028
2010,80,M,4726673
2010,85,M,1680158
2010,90,M,435711
2010,95,M,59289
2010,100,M,4346
2020,0,M,44456332
2020,5,M,46320144
2020,10,M,45349923
2020,15,M,44103122
2020,20,M,46273865
2020,25,M,51522843
2020,30,M,66443228
2020,35,M,51345507
2020,40,M,49289359
2020,45,M,61173349
2020,50,M,62348020
2020,55,M,49958045
2020,60,M,38917285
2020,65,M,36526788
2020,70,M,21425163
2020,75,M,12207276
2020,80,M,6883629
2020,85,M,2843084
2020,90,M,731228
2020,95,M,116377
2020,100,M,12773
2030,0,M,37006608
2030,5,M,40024719
2030,10,M,44284584
2030,15,M,46088036
2030,20,M,44927368
2030,25,M,43534341
2030,30,M,45654328
2030,35,M,50855386
2030,40,M,65550248
2030,45,M,50443511
2030,50,M,48041772
2030,55,M,58727160
2030,60,M,58104950
2030,65,M,43942636
2030,70,M,30742507
2030,75,M,23897465
2030,80,M,10613294
2030,85,M,4125191
2030,90,M,1315483
2030,95,M,251779
2030,100,M,27304
2040,0,M,34857332
2040,5,M,35402722
2040,10,M,36889467
2040,15,M,39846228
2040,20,M,43930005
2040,25,M,45599266
2040,30,M,44415706
2040,35,M,43036064
2040,40,M,45104176
2040,45,M,50102485
2040,50,M,64159718
2040,55,M,48715846
2040,60,M,45248592
2040,65,M,52717363
2040,70,M,47690406
2040,75,M,30767652
2040,80,M,16903346
2040,85,M,9269595
2040,90,M,2401474
2040,95,M,439527
2040,100,M,57277
2050,0,M,33391614
2050,5,M,34351304
2050,10,M,34763792
2050,15,M,35249965
2050,20,M,36576333
2050,25,M,39415882
2050,30,M,43473424
2050,35,M,45150432
2050,40,M,43954012
2050,45,M,42485257
2050,50,M,44281967
2050,55,M,48656321
2050,60,M,61035856
2050,65,M,44547536
2050,70,M,38445344
2050,75,M,39263589
2050,80,M,28884475
2050,85,M,13627403
2050,90,M,4538545
2050,95,M,1206546
2050,100,M,123448
1950,0,F,36834184
1950,5,F,26816395
1950,10,F,25332924
1950,15,F,24438980
1950,20,F,21571527
1950,25,F,19977100
1950,30,F,19584180
1950,35,F,17816822
1950,40,F,15599842
1950,45,F,14081686
1950,50,F,11367061
1950,55,F,10566709
1950,60,F,8549793
1950,65,F,6805964
1950,70,F,4041122
1950,75,F,2234066
1950,80,F,854076
1950,85,F,170772
1950,90,F,31833
1950,95,F,3954
1950,100,F,414
1960,0,F,47186883
1960,5,F,47005601
1960,10,F,33264529
1960,15,F,25452956
1960,20,F,24191227
1960,25,F,23130394
1960,30,F,20107692
1960,35,F,18363669
1960,40,F,17766213
1960,45,F,15785361
1960,50,F,13404331
1960,55,F,11670562
1960,60,F,8620071
1960,65,F,6643429
1960,70,F,4178354
1960,75,F,2306925
1960,80,F,714029
1960,85,F,177893
1960,90,F,32637
1960,95,F,3083
1960,100,F,305
1970,0,F,66328638
1970,5,F,53081152
1970,10,F,43429752
1970,15,F,45290224
1970,20,F,32136409
1970,25,F,24407984
1970,30,F,23003611
1970,35,F,21742011
1970,40,F,18638142
1970,45,F,16723256
1970,50,F,15821541
1970,55,F,13575172
1970,60,F,10776320
1970,65,F,8306708
1970,70,F,5099875
1970,75,F,2915838
1970,80,F,1160136
1970,85,F,345148
1970,90,F,48466
1970,95,F,5098
1970,100,F,448
1980,0,F,49227644
1980,5,F,61282503
1980,10,F,64390579
1980,15,F,52436685
1980,20,F,42955050
1980,25,F,44666519
1980,30,F,31569844
1980,35,F,23887152
1980,40,F,22389813
1980,45,F,20970701
1980,50,F,17684959
1980,55,F,15450080
1980,60,F,13932151
1980,65,F,11019942
1980,70,F,7611304
1980,75,F,4652753
1980,80,F,1951725
1980,85,F,624533
1980,90,F,116082
1980,95,F,14108
1980,100,F,932
1990,0,F,64094588
1990,5,F,50169756
1990,10,F,48525604
1990,15,F,60807019
1990,20,F,63877295
1990,25,F,51907908
1990,30,F,42432932
1990,35,F,44018789
1990,40,F,30995258
1990,45,F,23303843
1990,50,F,21598087
1990,55,F,19828966
1990,60,F,16091508
1990,65,F,13151297
1990,70,F,10593783
1990,75,F,6823984
1990,80,F,3334716
1990,85,F,1193395
1990,90,F,240716
1990,95,F,32154
1990,100,F,2608
2000,0,F,41568117
2000,5,F,47273938
2000,10,F,63443077
2000,15,F,49887010
2000,20,F,48167365
2000,25,F,60244382
2000,30,F,63202883
2000,35,F,51265265
2000,40,F,41786171
2000,45,F,43122864
2000,50,F,30052659
2000,55,F,22197439
2000,60,F,19905628
2000,65,F,17246936
2000,70,F,12628008
2000,75,F,8565201
2000,80,F,5136797
2000,85,F,2062956
2000,90,F,516597
2000,95,F,82453
2000,100,F,7263
2010,0,F,39073481
2010,5,F,38444848
2010,10,F,41263155
2010,15,F,46974733
2010,20,F,62891111
2010,25,F,49265227
2010,30,F,47534857
2010,35,F,59488495
2010,40,F,62300888
2010,45,F,50298020
2010,50,F,40681210
2010,55,F,41401388
2010,60,F,28062025
2010,65,F,19662485
2010,70,F,15998440
2010,75,F,11674464
2010,80,F,6473183
2010,85,F,2813646
2010,90,F,911081
2010,95,F,165210
2010,100,F,18638
2020,0,F,39476105
2020,5,F,40415039
2020,10,F,38912828
2020,15,F,38238737
2020,20,F,40884302
2020,25,F,46466160
2020,30,F,62295742
2020,35,F,48745948
2020,40,F,46984787
2020,45,F,58664268
2020,50,F,61097362
2020,55,F,48782446
2020,60,F,38596854
2020,65,F,37622978
2020,70,F,23524526
2020,75,F,14337340
2020,80,F,9297788
2020,85,F,4738693
2020,90,F,1573796
2020,95,F,358816
2020,100,F,61919
2030,0,F,34026171
2030,5,F,36167828
2030,10,F,39344410
2030,15,F,40224163
2030,20,F,38550873
2030,25,F,37764689
2030,30,F,40406105
2030,35,F,45990793
2030,40,F,61689278
2030,45,F,48137376
2030,50,F,46186514
2030,55,F,57164392
2030,60,F,58458487
2030,65,F,45022538
2030,70,F,33297383
2030,75,F,28831177
2030,80,F,14812864
2030,85,F,6564383
2030,90,F,2668267
2030,95,F,738706
2030,100,F,135083
2040,0,F,32616753
2040,5,F,33146161
2040,10,F,33928410
2040,15,F,36012659
2040,20,F,39032356
2040,25,F,39812241
2040,30,F,38148890
2040,35,F,37397184
2040,40,F,40021969
2040,45,F,45486204
2040,50,F,60789674
2040,55,F,47056887
2040,60,F,44455306
2040,65,F,53376974
2040,70,F,51534495
2040,75,F,35818643
2040,80,F,22255014
2040,85,F,14404464
2040,90,F,4763010
2040,95,F,1162128
2040,100,F,257750
2050,0,F,31221578
2050,5,F,32129896
2050,10,F,32531752
2050,15,F,33005557
2050,20,F,33638649
2050,25,F,35627919
2050,30,F,38649795
2050,35,F,39461787
2050,40,F,37811651
2050,45,F,37014856
2050,50,F,39486060
2050,55,F,44586297
2050,60,F,58816994
2050,65,F,44365455
2050,70,F,39900477
2050,75,F,43830488
2050,80,F,36254638
2050,85,F,19326637
2050,90,F,7941619
2050,95,F,2882683
2050,100,F,497333
